local_date,Flow 2,Unit,Flow 3,Product,Country,Type,Source,Flow 1,Metric,Flow 4,data_frequency,source_frequency,Value,Export Date
2022-09-13,"Avg. of NGI's reported prices for: Malin, PG&E Citygate, and Southern California Border Avg.",$/MMBtu,Spot,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",Cal. Comp. Avg.*,Prices,USD,daily,weekly,8.64,2022-09-19 11:05:58.396325
2022-09-13,Future Contract 1,$/MMBTU,1M,Gaseous natural gas,USA,Observed,U.S. Energy Information Administration - eia,Henry Hub,Prices,USD,daily,daily,8.284,2022-09-19 11:05:58.396325
2022-09-13,Future Contract 2,$/MMBTU,2M,Gaseous natural gas,USA,Observed,U.S. Energy Information Administration - eia,Henry Hub,Prices,USD,daily,daily,8.334,2022-09-19 11:05:58.396325
2022-09-13,Future Contract 3,$/MMBTU,3M,Gaseous natural gas,USA,Observed,U.S. Energy Information Administration - eia,Henry Hub,Prices,USD,daily,daily,8.477,2022-09-19 11:05:58.396325
2022-09-13,Future Contract 4,$/MMBTU,4M,Gaseous natural gas,USA,Observed,U.S. Energy Information Administration - eia,Henry Hub,Prices,USD,daily,daily,8.573,2022-09-19 11:05:58.396325
2022-09-13,Spot Price,$/MMBTU,Spot,Gaseous natural gas,USA,Observed,U.S. Energy Information Administration - eia,Henry Hub,Prices,USD,daily,daily,8.49,2022-09-19 11:05:58.396325
2022-09-14,Average Natural Gas Futures Price,$/MMBtu,1M,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",October contract,Prices,USD,daily,weekly,9.114,2022-09-19 11:05:58.396325
2022-09-14,Average Natural Gas Futures Price,$/MMBtu,2M,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",November contract,Prices,USD,daily,weekly,9.167,2022-09-19 11:05:58.396325
2022-09-14,Average Natural Gas Spot Price,$/MMBtu,Spot,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",Chicago,Prices,USD,daily,weekly,8.08,2022-09-19 11:05:58.396325
2022-09-14,Average Natural Gas Spot Price,$/MMBtu,Spot,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",Henry Hub,Prices,USD,daily,weekly,8.69,2022-09-19 11:05:58.396325
2022-09-14,Average Natural Gas Spot Price,$/MMBtu,Spot,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",New York,Prices,USD,daily,weekly,7.8,2022-09-19 11:05:58.396325
2022-09-14,"Avg. of NGI's reported prices for: Malin, PG&E Citygate, and Southern California Border Avg.",$/MMBtu,Spot,Total natural gas,USA,Observed,"Natural Gas Intelligence and CME Group as compiled by Bloomberg, L.P.",Cal. Comp. Avg.*,Prices,USD,daily,weekly,9.0,2022-09-19 11:05:58.396325
